ano_eleicao;sigla_partido;nome_coligacao;nome_candidato;nome_municipio
2012;PP;PARA PILAR SEGUIR MUDANDO;VIRGINIA MARIA PEIXOTO VELLOSO BORGES;PILAR
2012;PP;UNIAO PELO AGUIAR;MANOEL BATISTA GUEDES FILHO;AGUIAR
2012;PP;UNIDOS POR ALGODÃO;HUMBERTO DOS SANTOS;ALGODÃO DE JANDAÍRA
2012;PPS;MÃE D'ÁGUA UNIDA PELA TRADIÇÃO;MARGARIDA MARIA FRAGOSO SOARES;MÃE D'ÁGUA
2012;PPS;PELO BEM DE BANANEIRAS;DOUGLAS LUCENA MOURA DE MEDEIROS;BANANEIRAS
2012;PPS;VONTADE DO POVO;SEBASTIÃO ALBERTO CANDIDO DA CRUZ;SOLÂNEA
2012;PR;ALAGOA GRANDE UNIDA;HILDON REGIS NAVARRO FILHO;ALAGOA GRANDE
2012;PR;BREJO DO CRUZ MELHOR PARA TODOS;ANA MARIA DUTRA DA SILVA;BREJO DO CRUZ
2012;PR;COLIGAÇÃO SÃO JOÃO PARA TODOS;VALTER MARCONE MEDEIROS;SÃO JOÃO DO CARIRI
2012;PR;CONDADO QUER O MELHOR;CAIO RODRIGO BEZERRA PAIXAO;CONDADO
2012;PR;DUAS ESTRADAS CADA VEZ MELHOR;EDSON GOMES DE LUNA;DUAS ESTRADAS
2012;PR;PELO PROGRESSO DE NATUBA, O COMPROMISSO CONTINUA.;JOSÉ LINS DA SILVA FILHO;NATUBA
2012;PR;PLANTANDO UMA NOVA PALMEIRA;JOSE FELIX DE LIMA FILHO;NOVA PALMEIRA
2012;PR;POR AMOR A MOGEIRO;ANTONIO JOSÉ FERREIRA;MOGEIRO
2012;PR;SÃO BENTO AVANÇA UNIDA;GEMILTON SOUZA DA SILVA;SÃO BENTO
2012;PR;UNIÃO, MUDANÇA E LIBERDADE;CARMELITA ESTEVÃO VENTURA SOUSA;LIVRAMENTO
2012;PR;UNIDOS POR MAMANGUAPE;EDUARDO CARNEIRO DE BRITO;MAMANGUAPE
2012;PR;VITORIA DO POVO;ALBINO FELIX DE SOUSA NETO;CATINGUEIRA
2012;PRB;AREIA DO BEM;PAULO GOMES PEREIRA;AREIA
2012;PRB;COLIGAÇÃO A HORA É AGORA, MUDANÇA JÁ;JOSE DE ARIMATEIA NUNES CAMBOIM;SANTA TERESINHA
2012;PRP;COLIGAÇÃO RESPEITO E PROSPERIDADE;REGINALDO PEREIRA DA COSTA;SANTA RITA
2012;PSB;A ESPERANCA DE UM NOVO TEMPO;LUCILDO FERNANDES DE OLIVEIRA;DAMIÃO
2012;PSB;A ESPERANÇA VOLTOU;FRANCISCA DENISE ALBUQUERQUE DE OLIVEIRA;CAJAZEIRAS
2012;PSB;A FORÇA DO POVO;ROSÂNGELA DE FÁTIMA LEITE;DESTERRO
2012;PSB;A UNIÃO FAZ A DIFERENÇA;DEUSALEIDE JERONIMO LEITE;IGARACY
2012;PSB;A VEZ DO POVO;DERIVALDO ROMÃO DOS SANTOS;PEDRAS DE FOGO
2012;PSB;AGUA BRANCA EM PAZ;TARCISIO ALVES FIRMINO;ÁGUA BRANCA
2012;PSB;AMPARO DE TODOS;JOSE ARNALDO DA SILVA;AMPARO
2012;PSB;BARRA NO CAMINHO CERTO;FABIAN DUTRA SILVA;BARRA DE SANTA ROSA
2012;PSB;CABACEIRAS EM RITMO DE DESENVOLVIMENTO;LUIZ AIRES CAVALCANTE;CABACEIRAS
2012;PSB;CAMINHANDO COM O POVO;MARCELO SALES DE MENDONÇA;LUCENA
2012;PSB;CAMINHO DE FUTURO;MELCHIOR NAELSON BATISTA DA SILVA;REMÍGIO
2012;PSB;CAMINHO DO FUTURO;CICERO FRANCISCO DA SILVA;CAIÇARA
2012;PSB;COLIGAÇÃO AGORA É A VEZ DO POVO;JOSE JOSEMAR FERREIRA DE SOUZA;PARARI
2012;PSB;COLIGAÇÃO PARA FRENTE CORDEIROS;FERNANDO MARCOS DE QUEIROZ;SÃO JOSÉ DOS CORDEIROS
2012;PSB;COLIGAÇÃO SOCIALISTA DEMOCRATICA AMBIENTALISTA;SALVAN MENDES PEDROZA;NAZAREZINHO
